sentence	token	label
	The	O
	law	O
	should	O
	be	O
	amended	O
	to	O
	give	O
	the	O
	truth	O
	Justice	B-ORG
	and	I-ORG
	Reconcilitiation	I-ORG
	commision	I-ORG
	more	O
	powers	O
	and	O
	speed	O
	up	O
	its	O
	work	O
	","	O
	Deputy	O
	speaker	O
	Farah	B-ADLT
	Maalim	I-ADLT
	was	O
	saying	O
	during	O
	the	O
	consultative	O
	meeting	O
	in	O
	western	B-LOC
	Kenya	I-LOC
	.	O
	Unless	O
	you	O
	have	O
	independence	O
	","	O
	You	O
	will	O
	not	O
	go	O
	anywhere	O
	.	O
	Its	O
	therefore	O
	propose	O
	that	O
	the	O
	Act	O
	be	O
	ammended	O
	to	O
	allow	O
	the	O
	commission	O
	when	O
	acting	O
	on	O
	issues	O
	have	O
	independence	O
	.	O
		
	stop-x	stop-x
		
	My	O
	Name	O
	is	O
	peter	B-ADLT
	.	O
	I'm	O
	21	O
	years	O
	old	O
	.	O
	and	O
	heppen	O
	to	O
	Have	O
	affected	O
	by	O
	Hiv	O
	-	O
	Aids	O
	.	O
	I	O
	was	O
	Bed	O
	Ridden	O
	for	O
	6	O
	months	O
	and	O
	after	O
	that	O
	i	O
	was	O
	put	O
	on	O
	ARV'S.	O
	I	O
	am	O
	just	O
	a	O
	Business	O
	man	O
	selling	O
	oranges	O
	in	O
	the	O
	market	O
	a	O
	few	O
	kilometers	O
	from	O
	home	O
	.	O
	Sometimes	O
	carrying	O
	the	O
	luggage	O
	and	O
	moving	O
	from	O
	place	O
	to	O
	place	O
	to	O
	sell	O
	Became	O
	a	O
	problem	O
	to	O
	me	O
	I	O
	thought	O
	of	O
	getting	O
	a	O
	Bicycle	O
	But	O
	it	O
	was	O
	no	O
	Easy	O
	Buying	O
	one	O
	since	O
	it	O
	was	O
	expensive	O
	for	O
	me	O
	.	O
	I	O
	heard	O
	of	O
	my	O
	fellow	O
	Business	O
	men	O
	talking	O
	about	O
	getting	O
	a	O
	bicycle	O
	on	O
	loan	O
	.	O
	I	O
	became	O
	Intrested	O
	in	O
	Buying	O
	one	O
	when	O
	I	O
	approched	O
	the	O
	organization	O
	an	O
	N.	O
	G.	O
	O	O
	known	O
	as	O
	WEWASAFO	B-ORG
	.	O
	They	O
	gave	O
	me	O
	a	O
	Bicycle	O
	on	O
	loan	O
	to	O
	Repay	O
	for	O
	6	O
	months	O
	.	O
	I	O
	have	O
	payed	O
	the	O
	loan	O
	and	O
	now	O
	","	O
	the	O
	Bicycle	O
	is	O
	Reelly	O
	surporting	O
	me	O
	do	O
	my	O
	Business	O
	well	O
	.	O
	I	O
	even	O
	do	O
	n't	O
	have	O
	a	O
	problem	O
	with	O
	transportation	O
	.	O
	I	O
	can	O
	leave	O
	Home	O
	Very	O
	Early	O
	in	O
	the	O
	morning	O
	and	O
	come	O
	Back	O
	late	O
	in	O
	the	O
	evening	O
	after	O
	securing	O
	customers	O
	that	O
	com	O
	from	O
	job	O
	.	O
		
	stop-x	stop-x
		
	Godfrey	B-ADLT
	is	O
	my	O
	name	O
	.	O
	I	O
	come	O
	to	O
	know	O
	John	B-ADLT
	in	O
	forum	O
	.	O
	Indeed	O
	Beside	O
	being	O
	close	O
	to	O
	John	B-ADLT
	I	O
	have	O
	benefited	O
	a	O
	lot	O
	from	O
	Him	O
	.	O
	when	O
	I	O
	knew	O
	Him	O
	.	O
	They	O
	describe	O
	him	O
	as	O
	a	O
	Hard	O
	working	O
	young	O
	man	O
	in	O
	his	O
	village	O
	.	O
	John	B-ADLT
	Has	O
	been	O
	successfull	O
	all	O
	through	O
	says	O
	one	O
	of	O
	us	O
	.	O
	John	B-ADLT
	the	O
	narreted	O
	to	O
	me	O
	a	O
	story	O
	on	O
	how	O
	he	O
	sucefull	O
	completed	O
	his	O
	fort	O
	form	O
	fees	O
	.	O
	through	O
	Boda	O
	Boda	O
	Business	O
	.	O
	Right	O
	now	O
	as	O
	I'm	O
	speaking	O
	I'm	O
	a	O
	driver	O
	employed	O
	by	O
	John	B-ADLT
	who	O
	owns	O
	a	O
	matatu	O
	in	O
	town	O
	.	O
	I	O
	ca	O
	nt	O
	imagine	O
	this	O
	young	O
	man	O
	travelling	O
	all	O
	the	O
	way	O
	from	O
	being	O
	a	O
	Boda	O
	Boda	O
	Businessman	O
	to	O
	the	O
	owner	O
	of	O
	a	O
	matatu	O
	in	O
	town	O
	","	O
	this	O
	is	O
	great	O
	.	O
		
	stop-x	stop-x
		
	A	O
	Boda	O
	Boda	O
	Business	O
	that	O
	turned	O
	to	O
	a	O
	Motor	O
	bike	O
	Business	O
	.	O
	This	O
	a	O
	succes	O
	full	O
	young	O
	man	O
	by	O
	the	O
	name	O
	Paul	B-ADLT
	.	O
	I'm	O
	happy	O
	to	O
	say	O
	that	O
	it	O
	's	O
	not	O
	easy	O
	it	O
	requires	O
	Hard	O
	work	O
	?	O
	I	O
	secured	O
	a	O
	chance	O
	of	O
	getting	O
	to	O
	be	O
	a	O
	business	O
	man	O
	in	O
	Boda	O
	Boda	O
	","	O
	sector	O
	one	O
	Day	O
	.	O
	It	O
	's	O
	not	O
	easy	O
	","	O
	the	O
	bicycle	O
	I	O
	started	O
	with	O
	I	O
	took	O
	it	O
	on	O
	loan	O
	from	O
	an	O
	N.	O
	G.	O
	O	O
	know	O
	as	O
	(	O
	WEWASAFO	B-ORG
	)	O
	.	O
	Paying	O
	the	O
	loan	O
	was	O
	not	O
	easy	O
	but	O
	I	O
	managed	O
	to	O
	finish	O
	.	O
	I	O
	continued	O
	well	O
	and	O
	secured	O
	a	O
	motor	O
	bike	O
	through	O
	loan	O
	from	O
	the	O
	Equity	B-ORG
	bank	I-ORG
	","	O
	That	O
	's	O
	when	O
	I	O
	started	O
	seeing	O
	difference	O
	in	O
	my	O
	life	O
	I	O
	never	O
	gave	O
	up	O
	to	O
	Risk	O
	","	O
	my	O
	Business	O
	is	O
	doing	O
	well	O
	I'm	O
	planning	O
	to	O
	Buy	O
	a	O
	Matatu	O
	and	O
	soon	O
	or	O
	later	O
	I	O
	will	O
	be	O
	a	O
	successfully	O
	Matatu	O
	owner	O
	.	O
		
	stop-x	stop-x
		
	Surprisingly	O
	it	O
	happened	O
	so	O
	fast	O
	that	O
	people	O
	were	O
	left	O
	to	O
	wonder	O
	.	O
	says	O
	James	B-ADLT
	.	O
	I	O
	ca	O
	n't	O
	Imagine	O
	from	O
	Boda	O
	Boda	O
	Business	O
	I'm	O
	a	O
	millionare	O
	.	O
	I	O
	started	O
	off	O
	by	O
	carrying	O
	children	O
	to	O
	school	O
	.	O
	Parents	O
	used	O
	to	O
	tell	O
	me	O
	at	O
	the	O
	end	O
	of	O
	the	O
	month	O
	.	O
	I	O
	used	O
	to	O
	save	O
	my	O
	money	O
	with	O
	Equity	B-ORG
	Bank	I-ORG
	.	O
	I	O
	was	O
	introduced	O
	to	O
	this	O
	Bank	O
	(	O
	WEWASAFO	B-ORG
	)	O
	when	O
	I	O
	First	O
	bought	O
	a	O
	bicycle	O
	on	O
	loan	O
	.	O
	After	O
	saving	O
	my	O
	fellow	O
	Boda	O
	Boda	O
	men	O
	could	O
	not	O
	believe	O
	their	O
	eyes	O
	when	O
	they	O
	saw	O
	me	O
	with	O
	brand	O
	new	O
	motor	O
	cycle	O
	.	O
	this	O
	is	O
	after	O
	I	O
	learnt	O
	","	O
	to	O
	do	O
	savings	O
	through	O
	John	B-ADLT
	an	O
	officer	O
	that	O
	taught	O
	us	O
	on	O
	micro	O
	-	O
	finace	O
	.	O
	I'm	O
	doing	O
	good	O
	business	O
	with	O
	my	O
	Bike	O
	.	O
		
	stop-x	stop-x
		
	Surprisingly	O
	it	O
	happened	O
	so	O
	fast	O
	that	O
	people	O
	were	O
	left	O
	to	O
	wonder	O
	.	O
	says	O
	James	B-ADLT
	.	O
	I	O
	ca	O
	n't	O
	Imagine	O
	from	O
	Boda	O
	Boda	O
	Business	O
	I'm	O
	a	O
	millionare	O
	.	O
	I	O
	started	O
	off	O
	by	O
	carrying	O
	children	O
	to	O
	school	O
	.	O
	Parents	O
	used	O
	to	O
	tell	O
	me	O
	at	O
	the	O
	end	O
	of	O
	the	O
	month	O
	.	O
	I	O
	used	O
	to	O
	save	O
	my	O
	money	O
	with	O
	Equity	B-ORG
	Bank	I-ORG
	.	O
	I	O
	was	O
	introduced	O
	to	O
	this	O
	Bank	O
	(	O
	WEWASAFO	B-ORG
	)	O
	when	O
	I	O
	First	O
	bought	O
	a	O
	bicycle	O
	on	O
	loan	O
	.	O
	After	O
	saving	O
	my	O
	fellow	O
	Boda	O
	Boda	O
	men	O
	could	O
	not	O
	believe	O
	their	O
	eyes	O
	when	O
	they	O
	saw	O
	me	O
	with	O
	brand	O
	new	O
	motor	O
	cycle	O
	.	O
	this	O
	is	O
	after	O
	I	O
	learnt	O
	","	O
	to	O
	do	O
	savings	O
	through	O
	John	B-ADLT
	an	O
	officer	O
	that	O
	taught	O
	us	O
	on	O
	micro	O
	-	O
	finace	O
	.	O
	I'm	O
	doing	O
	good	O
	business	O
	with	O
	my	O
	Bike	O
	.	O
		
	stop-x	stop-x
		
	Our	O
	relative	O
	:	O
	mothers	O
	","	O
	fathers	O
	","	O
	uncles	O
	","	O
	brothers	O
	","	O
	sisters	O
	and	O
	aunts	O
	have	O
	been	O
	dying	O
	of	O
	different	O
	dimantion	O
	","	O
	gunshort	O
	muder	O
	toutchering	O
	mudder	O
	by	O
	thurgs	O
	and	O
	police	O
	across	O
	the	O
	road	O
	sickness	O
	etc	O
	.	O
	These	O
	had	O
	made	O
	money	O
	children	O
	to	O
	be	O
	orphans	O
	in	O
	the	O
	(	O
	GHETTO	O
	)	O
	slum	O
	.	O
	being	O
	that	O
	they	O
	do	O
	n't	O
	have	O
	any	O
	gudian	O
	they	O
	have	O
	been	O
	just	O
	loitering	O
	within	O
	village	O
	village	O
	searching	O
	on	O
	what	O
	to	O
	eat	O
	and	O
	who	O
	to	O
	take	O
	them	O
	to	O
	school	O
	.	O
	Sum	O
	of	O
	them	O
	have	O
	been	O
	addicted	O
	to	O
	drugs	O
	","	O
	crime	O
	","	O
	prostitution	O
	at	O
	early	O
	stage	O
	and	O
	also	O
	early	O
	marriage	O
	this	O
	increases	O
	poverty	O
	.	O
	These	O
	children	O
	were	O
	being	O
	taken	O
	to	O
	BARAKA	B-ORG
	ZA	I-ORG
	IBRAHIM	I-ORG
	CHILDREN	I-ORG
	CENTER	I-ORG
	.	O
		
	stop-x	stop-x
		
	My	O
	name	O
	is	O
	Jane	B-ADLT
	from	O
	kakamega	B-LOC
	.	O
	I'm	O
	a	O
	business	O
	woman	O
	","	O
	I	O
	started	O
	selling	O
	vegetables	O
	but	O
	now	O
	I'm	O
	a	O
	whole	O
	seller	O
	.	O
	I	O
	supply	O
	a	O
	lorry	O
	of	O
	cabbages	O
	every	O
	week	O
	.	O
	I'm	O
	happy	O
	to	O
	be	O
	at	O
	this	O
	level	O
	beacuse	O
	WEWASAFO	B-ORG
	an	O
	N.	O
	G.	O
	O	O
	surpoted	O
	us	O
	as	O
	a	O
	group	O
	.	O
	They	O
	gave	O
	us	O
	a	O
	loan	O
	of	O
	50	O
	thousand	O
	.	O
	A	O
	group	O
	of	O
	10	O
	women	O
	to	O
	expand	O
	our	O
	excisting	O
	Business	O
	.	O
	I	O
	am	O
	able	O
	to	O
	feed	O
	for	O
	my	O
	2	O
	children	O
	learning	O
	in	O
	a	O
	secondary	O
	school	O
	.	O
	I	O
	am	O
	able	O
	to	O
	feed	O
	them	O
	well	O
	My	O
	health	O
	and	O
	the	O
	health	O
	of	O
	my	O
	children	O
	is	O
	good	O
	.	O
	I	O
	am	O
	a	O
	single	O
	mother	O
	.	O
	I	O
	am	O
	working	O
	forward	O
	to	O
	by	O
	my	O
	own	O
	land	O
	and	O
	building	O
	it	O
	.	O
	wright	O
	now	O
	i	O
	stay	O
	in	O
	a	O
	2	O
	Roomed	O
	House	O
	(	O
	A	O
	Rental	O
	)	O
	house	O
	.	O
	I	O
	am	O
	going	O
	to	O
	work	O
	hard	O
	so	O
	as	O
	to	O
	improve	O
	in	O
	live	O
	more	O
	and	O
	more	O
	.	O
	Thanks	O
	very	O
	much	O
	WEWASAFO	B-ORG
	.	O
		
	stop-x	stop-x
		
	I	O
	am	O
	Joshua	B-ADLT
	Burn	I-ADLT
	in	O
	a	O
	village	O
	known	O
	as	O
	shikhambi	B-LOC
	.	O
	my	O
	business	O
	was	O
	making	O
	local	O
	beer	O
	for	O
	people	O
	to	O
	take	O
	.	O
	Sometimes	O
	people	O
	blame	O
	me	O
	for	O
	that	O
	because	O
	their	O
	children	O
	.	O
	Are	O
	getting	O
	spoiled	O
	one	O
	day	O
	i	O
	met	O
	a	O
	friend	O
	of	O
	mine	O
	who	O
	adviced	O
	me	O
	and	O
	thought	O
	changing	O
	that	O
	business	O
	.	O
	Fortunately	O
	there	O
	was	O
	an	O
	offer	O
	in	O
	WEWASAFO	B-ORG
	on	O
	NGO	O
	they	O
	were	O
	selling	O
	bicycles	O
	on	O
	loan	O
	.	O
	I	O
	decided	O
	to	O
	change	O
	to	O
	bodaboda	O
	and	O
	closed	O
	the	O
	other	O
	business	O
	people	O
	in	O
	my	O
	village	O
